종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","784617","1276968","492351","645509028000","1064543702000","419034674000"
"005930","삼성전자","4429480","5194002","764522","699356251800","844477433350","145121181550"
"003230","삼양식품","49677","123603","73926","58262919500","147902922000","89640002500"
"402340","SK스퀘어","191596","336460","144864","95846395500","178920184250","83073788750"
"267270","HD건설기계","444040","972168","528128","54077492250","123934535000","69857042750"
"005935","삼성전자우","1118081","1546282","428201","129313400800","176942523100","47629122300"
"068270","셀트리온","106256","277236","170980","22782788750","60801503500","38018714750"
"001040","CJ","118829","288863","170034","24101725400","60612051100","36510325700"
"047810","한국항공우주","366454","552815","186361","60275924150","92023668700","31747744550"
"440110","파두","1569509","2155094","585585","76298720550","105682908200","29384187650"
"005830","DB손해보험","47714","235143","187429","7223843050","33949082850","26725239800"
"128940","한미약품","66440","112742","46302","34184126500","60176170250","25992043750"
"009830","한화솔루션","1564662","2064261","499599","57674989725","83335550175","25660560450"
"347700","스피어","847561","1771862","924301","27318462770","52965702390","25647239620"
"039200","오스코텍","151423","700575","549152","7401731975","32485392700","25083660725"
"071050","한국금융지주","151654","251040","99386","31279871250","55090795350","23810924100"
"000150","두산","54329","79197","24868","47563261000","70863400000","23300139000"
"214450","파마리서치","264638","299217","34579","110414893000","132546733250","22131840250"
"064760","티씨케이","43589","145827","102238","8737653050","30218526550","21480873500"
"491000","리브스메드","155667","429040","273373","11563986850","32646530550","21082543700"
"006400","삼성SDI","248129","306650","58521","92213450000","113283082000","21069632000"
"047040","대우건설","3067598","5964228","2896630","17005406289","35702167258","18696760969"
"397030","에이프릴바이오","190741","506573","315832","10857850850","29355205975","18497355125"
"016360","삼성증권","115693","295963","180270","10332749750","27970334100","17637584350"
"252990","샘씨엔에스","135196","1964652","1829456","1302804460","17649795075","16346990615"
"103590","일진전기","89440","332796","243356","5877433700","22126422600","16248988900"
"089970","브이엠","473715","986499","512784","13158364175","29389174975","16230810800"
"323410","카카오뱅크","286761","931832","645071","7037605950","23115996100","16078390150"
"004020","현대제철","176436","616004","439568","5726024775","20943654225","15217629450"
"010060","OCI홀딩스","101132","202276","101144","13086665600","27677648100","14590982500"
"023530","롯데쇼핑","88470","234404","145934","9298585900","23337342700","14038756800"
"114810","한솔아이원스","96624","996555","899931","1422682370","14560500730","13137818360"
"237690","에스티팜","195268","285362","90094","28774974050","41832735850","13057761800"
"476830","알지노믹스","304383","379011","74628","45031558700","57663385750","12631827050"
"353200","대덕전자","427424","629509","202085","24095967900","36438180225","12342212325"
"267260","HD현대일렉트릭","26088","38958","12870","23320876000","35653063000","12332187000"
