종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","553460","1608096","1054636","94757751050","277049391450","182291640400"
"000660","SK하이닉스","137461","314558","177097","121247708500","278197616000","156949907500"
"402340","SK스퀘어","29814","160781","130967","16665924000","89825494000","73159570000"
"005380","현대차","41106","178106","137000","20137506750","88264359500","68126852750"
"267270","HD건설기계","89995","350480","260485","12410729000","48195413600","35784684600"
"003230","삼양식품","7460","29778","22318","8642803500","35146233000","26503429500"
"440110","파두","836474","1300591","464117","44119930400","67252758675","23132828275"
"009830","한화솔루션","360650","815520","454870","16861071575","38299410900","21438339325"
"071050","한국금융지주","22242","106596","84354","5325250500","25793065250","20467814750"
"000150","두산","6802","26716","19914","6188918000","24942086000","18753168000"
"000270","기아","57508","168079","110571","9026157150","26805981650","17779824500"
"298040","효성중공업","3586","9908","6322","8554367000","23722372500","15168005500"
"001040","CJ","11015","74380","63365","2451665750","16646885000","14195219250"
"047040","대우건설","779524","2733659","1954135","5631176080","19153587520","13522411440"
"000720","현대건설","40008","152493","112485","4564516200","17510597900","12946081700"
"068270","셀트리온","17535","71798","54263","4107771750","16985627500","12877855750"
"009150","삼성전기","30701","71214","40513","9496912000","21809035000","12312123000"
"189300","인텔리안테크","41144","132070","90926","5098769650","17288615200","12189845550"
"016360","삼성증권","38780","152195","113415","3766098700","14801989150","11035890450"
"078600","대주전자재료","73543","183983","110440","6751699150","16880156400","10128457250"
"141080","리가켐바이오","23803","77446","53643","4244032800","13839774250","9595741450"
"267260","HD현대일렉트릭","4532","14260","9728","4312675000","13510293000","9197618000"
"084370","유진테크","15596","96226","80630","1566079300","10560684850","8994605550"
"257720","실리콘투","34338","220892","186554","1483062550","9551328850","8068266300"
"476830","알지노믹스","19085","70774","51689","2540064250","9989774750","7449710500"
"079550","LIG넥스원","13887","29576","15689","6339528750","13651474000","7311945250"
"089970","브이엠","30593","245710","215117","984951600","8216364475","7231412875"
"010950","S-Oil","13763","78737","64974","1450818150","8417642900","6966824750"
"039200","오스코텍","12709","144815","132106","640782300","7273275200","6632492900"
"214450","파마리서치","8806","27986","19180","2955576000","9542386500","6586810500"
"019180","티에이치엔","90739","890000","799261","764339145","6893940000","6129600855"
"086280","현대글로비스","3316","26964","23648","824240500","6905643500","6081403000"
"307950","현대오토에버","14327","26449","12122","6254351500","11977297500","5722946000"
"105560","KB금융","81542","115890","34348","13094748550","18559024100","5464275550"
"128940","한미약품","22265","30066","7801","13058917000","18294898500","5235981500"
"010130","고려아연","4188","7152","2964","7044268500","12207068500","5162800000"
"114810","한솔아이원스","42247","360528","318281","710791900","5866797305","5156005405"
"023530","롯데쇼핑","63280","109079","45799","7060485900","12144172750","5083686850"
"122640","예스티","1129","207373","206244","25285050","4750280425","4724995375"
"047810","한국항공우주","92399","114252","21853","15117450950","19712498350","4595047400"
"000120","CJ대한통운","25503","61925","36422","3695561450","8282549300","4586987850"
"042660","한화오션","66369","99176","32807","8713299650","13140313950","4427014300"
"012330","현대모비스","15992","25412","9420","6991646750","11161159000","4169512250"
"003550","LG","13751","57144","43393","1307469200","5450181850","4142712650"
"051900","LG생활건강","2766","17626","14860","761102000","4843976000","4082874000"
"103590","일진전기","34289","90053","55764","2443068700","6466457350","4023388650"
"032350","롯데관광개발","262934","417445","154511","6783139700","10798694850","4015555150"
"010780","아이에스동서","10426","144493","134067","309634325","4283555525","3973921200"
"448900","한국피아이엠","32360","83801","51441","2355735300","6291211800","3935476500"
"102710","이엔에프테크놀로지","25207","90070","64863","1479934950","5322455700","3842520750"
"064760","티씨케이","11717","28544","16827","2429098750","5971185000","3542086250"
"138040","메리츠금융지주","62087","89401","27314","8137871250","11624123900","3486252650"
"003690","코리안리","102562","365678","263116","1326380360","4803762365","3477382005"
"000250","삼천당제약","10239","16339","6100","5264544250","8685153500","3420609250"
"388210","씨엠티엑스","21032","46080","25048","2779587900","6193645200","3414057300"
"298380","에이비엘바이오","107766","123149","15383","19970739400","23326254850","3355515450"
"0007C0","아크릴","35481","97303","61822","1731345300","5076517050","3345171750"
"028050","삼성E&A","27738","127343","99605","927649450","4265245900","3337596450"
"226590","엠디바이스","29831","186116","156285","627249420","3922993020","3295743600"
"475830","오름테라퓨틱","2984","30273","27289","337974300","3591895100","3253920800"
"053610","프로텍","12295","68301","56006","636983200","3839839950","3202856750"
"347700","스피어","352146","444177","92031","14094454525","17292809000","3198354475"
"057050","현대홈쇼핑","5014","47502","42488","379109200","3552827600","3173718400"
"376300","디어유","20558","86532","65974","864411200","3712036375","2847625175"
"096770","SK이노베이션","9406","34353","24947","1034805250","3879414050","2844608800"
"030200","KT","17244","63207","45963","1097613850","3864880900","2767267050"
"397030","에이프릴바이오","80825","112244","31419","4937876950","7668519900","2730642950"
"126700","하이비젼시스템","80294","216880","136586","1566130680","4290019540","2723888860"
"241560","두산밥캣","13316","54604","41288","848770200","3541963800","2693193600"
"139130","iM금융지주","51023","186369","135346","998552660","3613675165","2615122505"
"030000","제일기획","35264","155168","119904","766163950","3364055775","2597891825"
"004020","현대제철","21778","99043","77265","727419300","3301027025","2573607725"
"028300","HLB","2719","50604","47885","141467300","2674117450","2532650150"
"001450","현대해상","33835","110530","76695","1125898925","3642159975","2516261050"
"001820","삼화콘덴서","15208","82480","67272","566340325","3019841200","2453500875"
"018880","한온시스템","278097","818683","540586","1270034467","3716183488","2446149021"
"077360","덕산하이메탈","56078","284552","228474","618962215","3037661415","2418699200"
"213420","덕산네오룩스","6223","60326","54103","262046625","2654766050","2392719425"
"021240","코웨이","6782","33957","27175","585544400","2966657400","2381113000"
"010060","OCI홀딩스","17847","32987","15140","2733051600","5072691450","2339639850"
"058610","에스피지","18996","34701","15705","2573211050","4900125800","2326914750"
"214320","이노션","8934","123940","115006","176113945","2481498920","2305384975"
"138930","BNK금융지주","59495","171361","111866","1255061870","3517818300","2262756430"
"098120","마이크로컨텍솔","0","86196","86196","0","2248549200","2248549200"
"101160","월덱스","32827","116675","83848","863641150","3098440550","2234799400"
"062040","산일전기","61261","71890","10629","9117008050","11328727850","2211719800"
"347850","디앤디파마텍","69507","93007","23500","5616967250","7775875600","2158908350"
"052710","아모텍","9554","206479","196925","97492450","2223939470","2126447020"
"323410","카카오뱅크","61542","138146","76604","1701134050","3813912775","2112778725"
"237690","에스티팜","58294","69512","11218","8704642000","10768298400","2063656400"
"051500","CJ프레시웨이","21346","81274","59928","723687600","2768067500","2044379900"
"036930","주성엔지니어링","39292","78842","39550","1963783475","3984960375","2021176900"
"003570","SNT다이내믹스","4661","40928","36267","236004625","2162165200","1926160575"
"252990","샘씨엔에스","4973","174506","169533","55489560","1940884435","1885394875"
"475150","SK이터닉스","24113","102769","78656","577103375","2451522675","1874419300"
"032830","삼성생명","6263","15317","9054","1248978100","3055522650","1806544550"
"137400","피엔티","16590","49949","33359","846827800","2649751000","1802923200"
"419530","SAMG엔터","137605","159283","21678","5502868625","7289888775","1787020150"
"307180","아이엘","197944","491723","293779","792922930","2572268386","1779345456"
