종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1467","8","0.55","1451","1479","1451","325820","478048769","77837611680","53059040"
"095570","AJ네트웍스","KOSPI",,"5320","-20","-0.37","5160","5350","5040","650232","3368141260","240744677880","45252759"
"006840","AK홀딩스","KOSPI",,"8280","170","2.10","8090","8300","8090","25877","212764225","109689805080","13247561"
"054620","APS","KOSDAQ","중견기업부","4585","-35","-0.76","4620","4650","4490","46196","210667980","84337503285","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","22050","-700","-3.08","23000","23050","21900","193108","4287712200","331870603050","15050821"
"211270","AP위성","KOSDAQ","우량기업부","19550","120","0.62","19430","20850","19000","689131","13775690435","294859043200","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4215","65","1.57","4175","4280","4120","434696","1826518215","403446274065","95716791"
"282330","BGF리테일","KOSPI",,"140700","14500","11.49","133900","143400","130800","278535","38580425950","2431845574200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4000","-115","-2.79","4185","4185","3990","88924","357166292","251067596000","62766899"
"138930","BNK금융지주","KOSPI",,"20250","550","2.79","19870","20550","19680","1296767","26162363555","6284122418250","310327033"
"001460","BYC","KOSPI",,"57000","2900","5.36","53600","57800","52300","29644","1631324450","356030550000","6246150"
"001465","BYC우","KOSPI",,"27300","750","2.82","26500","27850","25500","8711","231459750","58800105000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1337","10","0.75","1327","1355","1318","202025","270461795","102807521334","76894182"
"001040","CJ","KOSPI",,"223000","0","0.00","227000","227500","219500","109595","24437509500","6506470554000","29176998"
"079160","CJ CGV","KOSPI",,"6090","0","0.00","6090","6170","6060","426937","2611918715","1008393271620","165581818"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","75600","-900","-1.18","77000","77100","74700","79206","5991244800","1657844042400","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8760","-20","-0.23","8890","8890","8600","24278","211825140","114453447120","13065462"
"00104K","CJ4우(전환)","KOSPI",,"184000","1300","0.71","183000","184300","181600","4518","827823750","777678208000","4226512"
"000120","CJ대한통운","KOSPI",,"145700","9000","6.58","154000","154000","144300","461651","68490194250","3323758520800","22812344"
"011150","CJ씨푸드","KOSPI",,"2955","30","1.03","2935","2967","2910","488011","1434023673","106175434215","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15200","-340","-2.19","15560","15560","15120","791","11991680","3040000000","200000"
"001045","CJ우","KOSPI",,"102800","1300","1.28","101500","104000","99900","6981","713726550","232350924400","2260223"
"097950","CJ제일제당","KOSPI",,"228500","0","0.00","230500","235000","227500","147121","33904841250","3439881501000","15054186"
"097955","CJ제일제당 우","KOSPI",,"143100","600","0.42","142800","144000","142500","8870","1271773600","189955662300","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","34100","600","1.79","33550","34600","32750","54166","1848462150","404821082600","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2060","-40","-1.90","2130","2130","2045","622519","1288894607","304554896980","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","555","9","1.65","547","555","542","51075","28006546","41131708230","74111186"
"000480","CR홀딩스","KOSPI",,"4825","40","0.84","4785","4840","4760","27233","131177630","226246614250","46890490"
"065770","CS","KOSDAQ","벤처기업부","870","20","2.35","850","882","835","131238","111578795","16887683100","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","487","54","12.47","446","494","442","1682025","787089696","30597946533","62829459"
"000590","CS홀딩스","KOSPI",,"84300","1000","1.20","83800","85600","83200","1135","95863300","97322832600","1154482"
"012030","DB","KOSPI",,"1674","-3","-0.18","1694","1712","1659","674601","1132229545","336765163842","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2225","0","0.00","2225","2235","2220","26047","57954510","12994000000","5840000"
"005830","DB손해보험","KOSPI",,"177800","6000","3.49","171800","178600","171600","243197","42949045950","12336475200000","69384000"
"016610","DB증권","KOSPI",,"13500","-30","-0.22","13500","13670","13430","111700","1510103855","573026251500","42446389"
"000990","DB하이텍","KOSPI",,"93800","-3000","-3.10","96900","98100","93000","266743","25315232500","4080730354400","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"4200","0","0.00","0","0","0","0","0","174035631000","41437055"
"290120","DH오토리드","KOSDAQ","우량기업부","2805","65","2.37","2740","2900","2735","46092","129425930","44387018445","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","1033","11","1.08","1030","1039","994","141731","144506578","50391004392","48781224"
"001530","DI동일","KOSPI",,"21850","450","2.10","21950","22450","21400","129625","2823828100","431084768000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"47250","950","2.05","47450","47600","45750","133558","6269920925","990165519000","20955884"
"000215","DL우","KOSPI",,"25100","100","0.40","25000","25500","24900","11990","301460175","42321486500","1686115"
"375500","DL이앤씨","KOSPI",,"50800","1400","2.83","52500","52800","50200","680836","34906479950","1965636048400","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"37000","1050","2.92","36500","38300","36500","3643","135426600","78142187000","2111951"
"37550K","DL이앤씨우","KOSPI",,"25150","600","2.44","25250","25600","24800","14727","371562250","53164207750","2113885"
"068790","DMS","KOSDAQ","투자주의환기종목(소속부없음)","6330","0","0.00","0","0","0","0","0","142869517920","22570224"
"007340","DN오토모티브","KOSPI",,"28650","-600","-2.05","29450","29600","28350","244254","7039784100","1676336282250","58510865"
"004840","DRB동일","KOSPI",,"5820","150","2.65","5670","5830","5670","42633","244544205","115992600000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","11670","170","1.48","12680","13130","11660","24157194","299813629370","315090000000","27000000"
"155660","DSR","KOSPI",,"3965","0","0.00","3960","4020","3925","46461","185150740","63440000000","16000000"
"069730","DSR제강","KOSPI",,"4270","110","2.64","4165","4295","4155","64288","272687716","61488000000","14400000"
"017860","DS단석","KOSPI",,"19300","-160","-0.82","19460","19500","19220","44971","870959585","339375291600","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","4750","85","1.82","4615","4845","4500","438863","2043283144","467539802000","98429432"
"092780","DYP","KOSPI",,"5290","70","1.34","5260","5460","5150","231018","1212145750","69661153400","13168460"
"017940","E1","KOSPI",,"99400","4100","4.30","96000","99700","93700","32838","3192226400","681884000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1349","-26","-1.89","1375","1391","1344","92966","126118637","26778293473","19850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","6190","-120","-1.90","6350","6350","6130","60124","373252535","53388576680","8624972"
"278990","EMB","KONEX","일반기업부","3200","40","1.27","3200","3200","2895","214","670215","25807286400","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4400","30","0.69","4370","4400","4365","156775","687357338","1082791600000","246089000"
