종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","357140","970361","613221","60076812950","166574349750","106497536800"
"005380","현대차","13701","129751","116050","6725011750","64974654500","58249642750"
"267270","HD건설기계","15900","274896","258996","2192157500","38408893300","36216735800"
"402340","SK스퀘어","21427","86848","65421","11897710500","47919219500","36021509000"
"003230","삼양식품","2362","22540","20178","2780588000","26644753000","23864165000"
"000270","기아","20602","125544","104942","3317105250","19928481150","16611375900"
"000150","두산","4463","20567","16104","4002298000","19141265500","15138967500"
"000660","SK하이닉스","110291","127311","17020","97172219500","112225752000","15053532500"
"071050","한국금융지주","17983","77630","59647","4336624500","18896746000","14560121500"
"440110","파두","428905","681688","252783","23024925925","35759700225","12734774300"
"047040","대우건설","505695","2160508","1654813","3663086605","15409872705","11746786100"
"189300","인텔리안테크","6683","94823","88140","828690550","12558918000","11730227450"
"001040","CJ","5640","56304","50664","1263455250","12693190000","11429734750"
"068270","셀트리온","14174","51440","37266","3326836750","12213926500","8887089750"
"476830","알지노믹스","3557","58470","54913","498883200","8296899600","7798016400"
"128940","한미약품","11076","22902","11826","6720312000","14069891000","7349579000"
"010950","S-Oil","7680","74769","67089","819860100","8018117150","7198257050"
"009830","한화솔루션","174968","317137","142169","8099020775","14941716250","6842695475"
"307950","현대오토에버","10588","25249","14661","4680336750","11466053750","6785717000"
"000720","현대건설","32518","89720","57202","3699683050","10280977250","6581294200"
"010130","고려아연","2357","6166","3809","3980421500","10529921500","6549500000"
"089970","브이엠","20663","201461","180798","648863925","6707541525","6058677600"
"086280","현대글로비스","1489","21512","20023","367986000","5509758500","5141772500"
"105560","KB금융","53072","84467","31395","8619143950","13718449050","5099305100"
"347850","디앤디파마텍","21053","78856","57803","1706962400","6603217650","4896255250"
"138040","메리츠금융지주","43264","79773","36509","5636177450","10337485550","4701308100"
"114810","한솔아이원스","39028","312455","273427","651936470","5107604335","4455667865"
"494120","큐리오시스","17823","77852","60029","1311684250","5689298200","4377613950"
"448900","한국피아이엠","11024","66394","55370","824245100","5028659000","4204413900"
"298040","효성중공업","2577","4268","1691","6136295500","10236402000","4100106500"
"051910","LG화학","2208","14355","12147","717315000","4798338000","4081023000"
"012330","현대모비스","5336","14005","8669","2353281250","6197290750","3844009500"
"419530","SAMG엔터","72017","147292","75275","3007727950","6838815000","3831087050"
"009150","삼성전기","19240","31126","11886","5965644250","9793513250","3827869000"
"078600","대주전자재료","60752","98978","38226","5635497900","9442653100","3807155200"
"298380","에이비엘바이오","34432","53631","19199","6468550850","10244041050","3775490200"
"051900","LG생활건강","71","13631","13560","19474000","3745877750","3726403750"
"214450","파마리서치","3594","14072","10478","1225414500","4782427250","3557012750"
"122640","예스티","1129","154216","153087","25285050","3528904025","3503618975"
"079550","LIG넥스원","12098","19397","7299","5533660250","9020386500","3486726250"
"388210","씨엠티엑스","12773","37776","25003","1609342450","4990107850","3380765400"
"0007C0","아크릴","23990","84220","60230","1216371650","4447761950","3231390300"
"323410","카카오뱅크","7637","123546","115909","211978700","3422697475","3210718775"
"018880","한온시스템","108997","805880","696883","495125579","3661778702","3166653123"
"475830","오름테라퓨틱","45","25991","25946","5385100","3119305050","3113919950"
"028050","삼성E&A","18259","107407","89148","612471175","3596120500","2983649325"
"003690","코리안리","28096","249788","221692","373805910","3332979510","2959173600"
"096770","SK이노베이션","461","26677","26216","51642450","3005029250","2953386800"
"376300","디어유","1198","69264","68066","51203175","2982609600","2931406425"
"102710","이엔에프테크놀로지","18497","67014","48517","1091481050","3963826200","2872345150"
"141080","리가켐바이오","14098","29718","15620","2546180300","5393497300","2847317000"
"003550","LG","12409","40891","28482","1182653400","3962334850","2779681450"
"023530","롯데쇼핑","60676","84405","23729","6792997700","9524595300","2731597600"
"010060","OCI홀딩스","5958","23833","17875","904968200","3625353800","2720385600"
"138930","BNK금융지주","30388","160604","130216","635886370","3303935585","2668049215"
"016360","삼성증권","30260","57195","26935","2921407300","5538915500","2617508200"
"103590","일진전기","1426","38007","36581","100367650","2713913750","2613546100"
"001450","현대해상","27934","97281","69347","919826425","3207517250","2287690825"
"052710","아모텍","0","206479","206479","0","2223939470","2223939470"
"316140","우리금융지주","59155","118634","59479","2273105975","4470102900","2196996925"
"028300","HLB","1429","42791","41362","75148100","2267337000","2192188900"
"307180","아이엘","98972","487876","388904","402775660","2551892496","2149116836"
"090460","비에이치","18960","119453","100493","409498495","2552735680","2143237185"
"053610","프로텍","2576","40189","37613","133301700","2260835300","2127533600"
"000120","CJ대한통운","23427","39488","16061","3412711350","5499031550","2086320200"
"267260","HD현대일렉트릭","3318","5429","2111","3184751500","5263153500","2078402000"
"062040","산일전기","11685","24758","13073","1778948050","3853085000","2074136950"
"139130","iM금융지주","31942","138630","106688","638475935","2668322535","2029846600"
"032350","롯데관광개발","172518","249066","76548","4444291725","6436602175","1992310450"
"213420","덕산네오룩스","3806","47282","43476","162608975","2105438175","1942829200"
"097950","CJ제일제당","639","8955","8316","145831250","2056228250","1910397000"
"003490","대한항공","61246","136987","75741","1526813025","3430104300","1903291275"
"290550","디케이티","500","161019","160519","5591800","1867906550","1862314750"
"475150","SK이터닉스","12588","90985","78397","294215050","2115988500","1821773450"
"010780","아이에스동서","6861","67067","60206","204277000","2004772925","1800495925"
"0015N0","아로마티카","13921","133874","119953","188846180","1925934895","1737088715"
"101160","월덱스","16837","81626","64789","441223700","2146945050","1705721350"
"237690","에스티팜","17295","28478","11183","2588233200","4280420150","1692186950"
"001820","삼화콘덴서","15128","61007","45879","563571275","2248066950","1684495675"
"214320","이노션","1110","85032","83922","21985020","1700526035","1678541015"
"122870","와이지엔터테인먼트","19834","41114","21280","1477278950","3155562900","1678283950"
"057050","현대홈쇼핑","4895","28036","23141","371036800","2035234400","1664197600"
"004020","현대제철","14433","63870","49437","488176675","2132218800","1644042125"
"036620","감성코퍼레이션","130796","360080","229284","922945565","2536502765","1613557200"
"021240","코웨이","5481","23628","18147","476445250","2067838500","1591393250"
"032830","삼성생명","4198","12104","7906","840586550","2430740700","1590154150"
"126700","하이비젼시스템","66557","142249","75692","1310976270","2889316620","1578340350"
"226590","엠디바이스","0","74414","74414","0","1509269270","1509269270"
"009420","한올바이오파마","1589","29278","27689","86230150","1591841550","1505611400"
"088350","한화생명","151267","529986","378719","683518095","2176464600","1492946505"
"127120","제이에스링크","4382","53020","48638","127771875","1620134550","1492362675"
"000370","한화손해보험","4649","209993","205344","34394900","1521051675","1486656775"
"458870","씨어스테크놀로지","3925","12721","8796","650440150","2111897750","1461457600"
"108490","로보티즈","3935","8963","5028","1102424250","2537120000","1434695750"
"006400","삼성SDI","4511","8130","3619","1717368500","3118785750","1401417250"
"039200","오스코텍","6902","34312","27410","350422400","1745814800","1395392400"
"319660","피에스케이","1633","25361","23728","92428200","1477935100","1385506900"
"018260","삼성에스디에스","8829","16690","7861","1507816150","2867788400","1359972250"
"451760","컨텍","28235","82893","54658","619099225","1968803050","1349703825"
"000880","한화","12521","23486","10965","1435141400","2767270000","1332128600"
"0013V0","삼진식품","749","122125","121376","8364625","1328779865","1320415240"
"086790","하나금융지주","12129","22593","10464","1532743250","2842304350","1309561100"
"058610","에스피지","13072","21932","8860","1762965400","3068103050","1305137650"
"261520","이지스","123","98421","98298","1527490","1303659220","1302131730"
"115180","큐리언트","0","34163","34163","0","1299342475","1299342475"
"111770","영원무역","6218","19313","13095","572949500","1847394950","1274445450"
