종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","27381","67522","40141","22491775500","55787015000","33295239500"
"105560","KB금융","8531","103973","95442","1267041300","15300039200","14032997900"
"005930","삼성전자","198620","284044","85424","31041428950","44607322200","13565893250"
"047810","한국항공우주","3086","83730","80644","475061250","13144696950","12669635700"
"347700","스피어","77844","303373","225529","2850273125","10326227200","7475954075"
"402340","SK스퀘어","3920","17491","13571","1983621500","8965003500","6981382000"
"010060","OCI홀딩스","7504","52309","44805","1067191400","7798565650","6731374250"
"440110","파두","81782","212171","130389","3518232025","9661545525","6143313500"
"128940","한미약품","1631","12019","10388","899060000","6704643000","5805583000"
"034020","두산에너빌리티","7559","70767","63208","666795700","6243904550","5577108850"
"009830","한화솔루션","209726","363483","153757","8986894150","14297565425","5310671275"
"353200","대덕전자","1423","82297","80874","83776800","4855537050","4771760250"
"071050","한국금융지주","6992","29716","22724","1423629100","6055943400","4632314300"
"196170","알테오젠","8451","21182","12731","3043200500","7626714500","4583514000"
"052690","한전기술","1868","28979","27111","275071500","4258546000","3983474500"
"001040","CJ","154","18547","18393","31895000","3872947000","3841052000"
"005935","삼성전자우","22817","54995","32178","2519477650","6046929200","3527451550"
"068270","셀트리온","1961","18237","16276","421466750","3933470000","3512003250"
"042660","한화오션","7507","34449","26942","973356800","4467086700","3493729900"
"015760","한국전력","9062","54125","45063","545340800","3262611850","2717271050"
"055550","신한지주","11184","39173","27989","1024670750","3584189200","2559518450"
"032350","롯데관광개발","8932","105285","96353","230772200","2720202000","2489429800"
"252990","샘씨엔에스","16737","232250","215513","177169105","2470453540","2293284435"
"229640","LS에코에너지","1371","56664","55293","53913900","2299861000","2245947100"
"039200","오스코텍","3445","46857","43412","178675000","2395047700","2216372700"
"024060","흥구석유","0","134955","134955","0","1999816940","1999816940"
"489500","엘케이켐","4000","46029","42029","190283000","2180307150","1990024150"
"491000","리브스메드","1119","26164","25045","86677150","2055874600","1969197450"
"139130","iM금융지주","6150","119444","113294","106260050","2073711095","1967451045"
"259960","크래프톤","384","8093","7709","90336000","1909114750","1818778750"
"499790","GS피앤엘","17930","47279","29349","1096404300","2894856700","1798452400"
"095340","ISC","1405","12599","11194","223269300","1985783700","1762514400"
"099320","쎄트렉아이","6254","15304","9050","1098467650","2855495000","1757027350"
"322000","HD현대에너지솔루션","14846","35352","20506","1297715950","3026644750","1728928800"
"138930","BNK금융지주","1821","94841","93020","32701195","1743725700","1711024505"
"103590","일진전기","517","27123","26606","32767300","1726421800","1693654500"
"010780","아이에스동서","77","61053","60976","2059900","1627031400","1624971500"
"214450","파마리서치","3413","7752","4339","1141533500","2637281250","1495747750"
"328130","루닛","0","33765","33765","0","1381435500","1381435500"
"008930","한미사이언스","300","29678","29378","13779250","1383644625","1369865375"
"336260","두산퓨얼셀","3308","42782","39474","115692000","1479092700","1363400700"
"237690","에스티팜","6258","15354","9096","906648300","2245917600","1339269300"
"448900","한국피아이엠","0","20884","20884","0","1289786700","1289786700"
"354320","알멕","0","19370","19370","0","1215961100","1215961100"
"089970","브이엠","3178","46792","43614","84487150","1252105675","1167618525"
"086790","하나금융지주","6034","15723","9689","676919300","1791365550","1114446250"
"240810","원익IPS","3810","13712","9902","386801800","1465830250","1079028450"
"036570","엔씨소프트","5173","9984","4811","1078801250","2135748000","1056946750"
"010130","고려아연","346","994","648","556099000","1608651000","1052552000"
"263750","펄어비스","2188","21333","19145","116208300","1150087750","1033879450"
"079550","LIG넥스원","2224","4601","2377","917187000","1949471500","1032284500"
"295310","에이치브이엠","7083","18250","11167","578159050","1579091900","1000932850"
"171090","선익시스템","3380","14560","11180","306616800","1303510300","996893500"
"008770","호텔신라","404","20059","19655","19794800","985693475","965898675"
"051500","CJ프레시웨이","0","29028","29028","0","950572500","950572500"
"017800","현대엘리베이터","13136","22536","9400","1336568850","2255357550","918788700"
"033780","KT&G","1104","6768","5664","178905000","1095072750","916167750"
"009470","삼화전기","2153","19727","17574","112786050","1022785100","909999050"
"108490","로보티즈","1062","4389","3327","286810000","1190886500","904076500"
"00680K","미래에셋증권2우B","796","53142","52346","12834025","855694250","842860225"
"104830","원익머트리얼즈","1574","21214","19640","65380400","896033825","830653425"
"475960","토모큐브","4234","19168","14934","227596300","1036432400","808836100"
"017960","한국카본","6724","29979","23255","228355125","1030293450","801938325"
"078930","GS","347","12109","11762","23331000","816509550","793178550"
"194370","제이에스코퍼레이션","469","58326","57857","6250970","785467140","779216170"
"034230","파라다이스","2491","39548","37057","50383625","800549975","750166350"
"451760","컨텍","152","35638","35486","3028215","743865775","740837560"
"329180","HD현대중공업","1082","2441","1359","575928000","1305396500","729468500"
"095610","테스","2396","12524","10128","161263850","833323100","672059250"
"019210","와이지-원","26544","95134","68590","262576370","929863500","667287130"
"950160","코오롱티슈진","8499","15572","7073","800770500","1467239750","666469250"
"080160","모두투어","31257","70812","39555","521966170","1185687760","663721590"
"007340","DN오토모티브","160","25220","25060","4161750","661251350","657089600"
"003670","포스코퓨처엠","2885","5963","3078","619207000","1275683750","656476750"
"131290","티에스이","2229","9467","7238","199533200","847481800","647948600"
"047040","대우건설","36219","147452","111233","199431565","816727825","617296260"
"000120","CJ대한통운","460","6027","5567","50131600","662427800","612296200"
"006800","미래에셋증권","84637","96175","11538","3968194900","4569593325","601398425"
"016360","삼성증권","1022","7660","6638","89712600","673443600","583731000"
"030200","KT","2552","12329","9777","141881400","686352400","544471000"
"403870","HPSP","9612","21026","11414","432539275","971044325","538505050"
"011780","금호석유화학","798","4790","3992","106298300","641874900","535576600"
"084370","유진테크","1127","6243","5116","109569750","630645900","521076150"
"251970","펌텍코리아","0","8712","8712","0","513773950","513773950"
"005490","POSCO홀딩스","3166","4606","1440","1133577250","1641990750","508413500"
"287840","인투셀","0","11337","11337","0","506903950","506903950"
"473980","노머스","0","21108","21108","0","490377375","490377375"
"077360","덕산하이메탈","241","43260","43019","2760455","489875090","487114635"
"101160","월덱스","0","18013","18013","0","462933650","462933650"
"023530","롯데쇼핑","2677","7312","4635","257868900","703626150","445757250"
"003690","코리안리","21067","55771","34704","254939360","674833730","419894370"
"122870","와이지엔터테인먼트","7623","13687","6064","523809450","943400350","419590900"
"307950","현대오토에버","1138","2186","1048","442493500","854439750","411946250"
"195870","해성디에스","802","7491","6689","48983250","456079800","407096550"
"389650","넥스트바이오메디컬","4","5525","5521","283600","399265400","398981800"
"102710","이엔에프테크놀로지","70","7200","7130","3771400","399271500","395500100"
"037460","삼지전자","0","18002","18002","0","382746100","382746100"
"00088K","한화3우B","1579","10093","8514","70820900","450850050","380029150"
"093050","LF","21","18816","18795","424200","376900710","376476510"
"010140","삼성중공업","60546","73731","13185","1653945450","2024813325","370867875"
"032830","삼성생명","2530","4464","1934","463536950","818941550","355404600"
"018880","한온시스템","2684","91505","88821","10161020","340524365","330363345"
"003230","삼양식품","1205","1527","322","1253180500","1580022000","326841500"
"376300","디어유","3106","10990","7884","125058400","446534850","321476450"
"192820","코스맥스","615","2232","1617","121778100","441727100","319949000"
"014830","유니드","1074","5081","4007","84615500","404483100","319867600"
"014680","한솔케미칼","253","1398","1145","70078000","388636000","318558000"
"034730","SK","4289","5292","1003","1334053750","1650096750","316043000"
"267250","HD현대","687","2051","1364","160879500","473904000","313024500"
