종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1409","-58","-3.95","1469","1478","1400","382966","546427093","74760187360","53059040"
"095570","AJ네트웍스","KOSPI",,"5400","80","1.50","5300","5510","5210","617691","3304041870","244364898600","45252759"
"006840","AK홀딩스","KOSPI",,"8530","250","3.02","8290","8570","8110","41470","349812390","113001695330","13247561"
"054620","APS","KOSDAQ","중견기업부","4705","120","2.62","4600","4705","4500","89781","413785223","86544809805","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","22050","0","0.00","22400","22500","21750","184637","4071600000","331870603050","15050821"
"211270","AP위성","KOSDAQ","우량기업부","19480","-70","-0.36","19900","20600","19160","604100","11976787370","293803281920","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4215","0","0.00","4215","4250","4175","206479","869989331","403446274065","95716791"
"282330","BGF리테일","KOSPI",,"137900","-2800","-1.99","138300","139200","136400","100759","13875182450","2383450637400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3925","-75","-1.88","4000","4010","3925","66228","262217876","246360078575","62766899"
"138930","BNK금융지주","KOSPI",,"21450","1200","5.93","20750","21550","20400","2493513","53009499484","6656514857850","310327033"
"001460","BYC","KOSPI",,"57000","0","0.00","56000","57000","52900","14465","787910700","356030550000","6246150"
"001465","BYC우","KOSPI",,"27550","250","0.92","27150","27600","26300","8146","219422400","59338567500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1350","13","0.97","1337","1354","1300","169178","222427832","103807145700","76894182"
"001040","CJ","KOSPI",,"232000","9000","4.04","224000","234000","221500","155750","35455008750","6769063536000","29176998"
"079160","CJ CGV","KOSPI",,"6090","0","0.00","6090","6100","6000","351802","2129063825","1008393271620","165581818"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","80000","4400","5.82","75400","80000","74600","136979","10623730300","1754332320000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8850","90","1.03","8760","8940","8750","24241","214543850","115629338700","13065462"
"00104K","CJ4우(전환)","KOSPI",,"189700","5700","3.10","184000","189700","181700","10135","1896296050","801769326400","4226512"
"000120","CJ대한통운","KOSPI",,"142800","-2900","-1.99","146500","148000","137400","253054","35806565050","3257602723200","22812344"
"011150","CJ씨푸드","KOSPI",,"2945","-10","-0.34","2955","2965","2920","369414","1086323711","105816126485","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15380","180","1.18","15250","15960","15250","202","3106380","3076000000","200000"
"001045","CJ우","KOSPI",,"104300","1500","1.46","102800","104400","102300","5009","517660950","235741258900","2260223"
"097950","CJ제일제당","KOSPI",,"230500","2000","0.88","231500","231500","227500","100560","23030652250","3469989873000","15054186"
"097955","CJ제일제당 우","KOSPI",,"142900","-200","-0.14","143900","144200","141700","9349","1339571000","189690175700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","33400","-700","-2.05","34450","34450","33200","25127","843207225","396510972400","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2050","-10","-0.49","2065","2080","2045","599090","1236210698","303076475150","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","557","2","0.36","554","558","553","48940","27155846","41279930602","74111186"
"000480","CR홀딩스","KOSPI",,"4900","75","1.55","4870","4900","4825","25319","123243855","229763401000","46890490"
"065770","CS","KOSDAQ","벤처기업부","850","-20","-2.30","859","860","821","104113","88484499","16499460500","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","460","-27","-5.54","487","495","455","913504","426506822","28901551140","62829459"
"000590","CS홀딩스","KOSPI",,"84300","0","0.00","84600","84600","83100","773","64931100","97322832600","1154482"
"012030","DB","KOSPI",,"1719","45","2.69","1676","1735","1676","775107","1322443247","345817990827","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2230","5","0.22","2225","2235","2225","9200","20503360","13023200000","5840000"
"005830","DB손해보험","KOSPI",,"186700","8900","5.01","178300","186700","178200","198697","36503569900","12953992800000","69384000"
"016610","DB증권","KOSPI",,"13760","260","1.93","13650","13840","13510","85248","1165466910","584062312640","42446389"
"000990","DB하이텍","KOSPI",,"94800","1000","1.07","96400","96800","92400","362625","34100980300","4124234942400","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"4200","0","0.00","0","0","0","0","0","174035631000","41437055"
"290120","DH오토리드","KOSDAQ","우량기업부","2820","15","0.53","2805","2865","2770","44743","125803855","44624382180","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","1032","-1","-0.10","1035","1044","1015","146609","150998873","50342223168","48781224"
"001530","DI동일","KOSPI",,"23550","1700","7.78","21950","23800","21550","171702","3931040975","464624544000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"47150","-100","-0.21","47550","47650","46750","93302","4400645625","988069930600","20955884"
"000215","DL우","KOSPI",,"25100","0","0.00","25100","25350","25000","3953","99382750","42321486500","1686115"
"375500","DL이앤씨","KOSPI",,"49800","-1000","-1.97","50900","50900","49450","443873","22134811750","1926942425400","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"36550","-450","-1.22","36900","37550","35800","2441","89459750","77191809050","2111951"
"37550K","DL이앤씨우","KOSPI",,"24900","-250","-0.99","25150","25400","24650","14987","374568475","52635736500","2113885"
"068790","DMS","KOSDAQ","투자주의환기종목(소속부없음)","6330","0","0.00","0","0","0","0","0","142869517920","22570224"
"007340","DN오토모티브","KOSPI",,"32000","3350","11.69","28650","33250","28600","735934","23345709525","1872347680000","58510865"
"004840","DRB동일","KOSPI",,"5840","20","0.34","5850","5900","5710","67238","390458585","116391200000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","11680","10","0.09","11680","12540","10940","10338376","122259312575","315360000000","27000000"
"155660","DSR","KOSPI",,"4030","65","1.64","3970","4030","3940","36536","145860055","64480000000","16000000"
"069730","DSR제강","KOSPI",,"4230","-40","-0.94","4235","4300","4205","35528","150753870","60912000000","14400000"
"017860","DS단석","KOSPI",,"19160","-140","-0.73","19350","19450","18100","55939","1071044420","336913501920","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","5050","300","6.32","4835","5210","4610","703478","3536623897","497068631600","98429432"
"092780","DYP","KOSPI",,"5420","130","2.46","5260","5500","5200","143706","770513865","71373053200","13168460"
"017940","E1","KOSPI",,"99000","-400","-0.40","99800","99800","96000","14588","1430272950","679140000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1415","66","4.89","1349","1419","1312","191145","259428768","28088424955","19850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","6230","40","0.65","6190","6300","6090","63379","392299370","53733575560","8624972"
"278990","EMB","KONEX","일반기업부","3250","50","1.56","3300","3300","3100","82","254550","26210525250","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4440","40","0.91","4400","4445","4370","241432","1068890273","1092635160000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2790","5","0.18","2750","2800","2750","16850","46705530","37843799940","13564086"
"383220","F&F","KOSPI",,"71900","-1500","-2.04","72800","73400","70300","264260","18787298650","2754278692500","38307075"
"007700","F&F홀딩스","KOSPI",,"21050","-400","-1.86","21300","21600","20800","15073","317641475","823357425350","39114367"
"214270","FSN","KOSDAQ","중견기업부","1875","-37","-1.94","1900","1991","1870","431367","829215700","81920548125","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2550","0","0.00","2560","2575","2520","30790","78154312","37089882600","14545052"
"114090","GKL","KOSPI",,"13490","-350","-2.53","13800","13840","13440","602917","8201428405","834432988300","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3975","130","3.38","3845","4015","3740","375795","1466735822","321378750000","80850000"
"078930","GS","KOSPI",,"70200","500","0.72","70100","70700","68600","371314","25775657450","6522659535600","92915378"
"083450","GST","KOSDAQ","우량기업부","29150","400","1.39","29550","29950","28750","315709","9271304250","537234500000","18430000"
"006360","GS건설","KOSPI",,"21700","-250","-1.14","22150","22150","21550","964161","20978062600","1857118333000","85581490"
"001250","GS글로벌","KOSPI",,"2585","100","4.02","2525","2655","2505","3880968","10058108286","213349779940","82533764"
"007070","GS리테일","KOSPI",,"22400","-450","-1.97","22950","23100","22200","204033","4582914900","1872806096000","83607415"
"078935","GS우","KOSPI",,"57500","300","0.52","57200","58000","57100","11006","632276750","102627495000","1784826"
"499790","GS피앤엘","KOSPI",,"61400","900","1.49","60800","62500","58400","178189","10873254650","1217613637400","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2310","-20","-0.86","2335","2345","2300","266581","616536385","168955511340","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2180","10","0.46","2170","2185","2145","200091","432337591","59964017400","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2160","10","0.47","2170","2200","2150","1558247","3376624640","200266378560","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2950","-10","-0.34","2960","2975","2925","37551","110574650","107199244650","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","702","3","0.43","699","741","683","223897","158185323","89111885616","126940008"
"012630","HDC","KOSPI",,"21450","250","1.18","21250","21750","21050","234040","5021685250","1281459915450","59741721"
"039570","HDC랩스","KOSPI",,"8380","90","1.09","8350","8420","8280","22661","189156600","217524696380","25957601"
"089470","HDC현대EP","KOSPI",,"6500","1010","18.40","5580","6600","5490","2327955","14472602975","207350000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"23150","-350","-1.49","23550","23550","22950","240908","5576451950","1525754689500","65907330"
"267270","HD건설기계","KOSPI",,"145000","8400","6.15","139000","148200","137200","1231805","178587162700","6956247110000","47974118"
"009540","HD한국조선해양","KOSPI",,"397000","7000","1.79","392000","402500","391000","231984","92046847750","28096927052000","70773116"
"267250","HD현대","KOSPI",,"261000","11000","4.40","254500","275000","254000","422596","111141067500","20617195185000","78993085"
"443060","HD현대마린솔루션","KOSPI",,"166400","-500","-0.30","167200","168000","164100","239795","39749757844","7459934144000","44831335"
"071970","HD현대마린엔진","KOSPI",,"83700","500","0.60","83800","84200","82200","155081","12909236150","2839229131500","33921495"
"322000","HD현대에너지솔루션","KOSPI",,"86900","3700","4.45","84400","87100","82500","327064","28117806800","973280000000","11200000"
"267260","HD현대일렉트릭","KOSPI",,"966000","-29000","-2.91","997000","1000000","958000","182379","176685915000","34821532410000","36047135"
"329180","HD현대중공업","KOSPI",,"539000","2000","0.37","543000","552000","537000","246531","133407260500","56574100275000","104961225"
"376270","HEM파마","KOSDAQ","기술성장기업부","83400","1600","1.96","82800","84600","79900","28168","2322351550","598956031800","7181727"
"097230","HJ중공업","KOSPI",,"23850","100","0.42","23750","24000","23400","568124","13475152700","2153543954400","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","55400","400","0.73","55000","55800","54300","253590","13995248800","1569475961400","28329891"
"014790","HL D&I","KOSPI",,"3235","0","0.00","3240","3245","3170","73987","237011835","122472574235","37858601"
"028300","HLB","KOSDAQ","중견기업부","52200","-200","-0.38","52300","52800","51400","519501","27024788300","6948733708800","133117504"
"003580","HLB글로벌","KOSPI",,"2160","30","1.41","2130","2170","2095","125292","266945768","109433170800","50663505"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1288","-5","-0.39","1294","1299","1269","259754","332723629","112063134232","87005539"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","4060","-30","-0.73","4100","4110","4020","390796","1585342204","494983255480","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","3055","20","0.66","3040","3100","3005","468442","1427347262","450110267165","147335603"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","2935","155","5.58","2810","3500","2760","972015","2982827183","85710711080","29202968"
"047920","HLB제약","KOSDAQ","기술성장기업부","16340","50","0.31","16500","16500","16090","61094","993059435","535941477040","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","2900","-45","-1.53","2995","2995","2885","306374","891222139","244708562700","84382263"
"046210","HLB파나진","KOSDAQ","벤처기업부","1819","125","7.38","1702","1930","1650","1037886","1885786159","82711119626","45470654"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","7730","30","0.39","7890","7890","7600","6833","52690910","71837966540","9293398"
"204320","HL만도","KOSPI",,"60700","800","1.34","60000","60700","58500","483701","28821910450","2850297184000","46957120"
"060980","HL홀딩스","KOSPI",,"46700","1050","2.30","46450","47250","46150","36187","1685972100","430269375900","9213477"
"011200","HMM","KOSPI",,"21350","300","1.43","21200","21450","21050","2174641","46327929675","20138130659500","943237970"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","42500","-700","-1.62","43900","43950","42050","1648755","70277685450","3569962600000","83999120"
"036640","HRS","KOSDAQ","우량기업부","5260","30","0.57","5240","5320","5210","169698","894980155","86026248000","16354800"
"035000","HS애드","KOSPI",,"8730","40","0.46","8670","8730","8530","26700","231259440","141492732120","16207644"
"002460","HS화성","KOSPI",,"13140","180","1.39","12950","13150","12950","10464","136715750","133371000000","10150000"
"487570","HS효성","KOSPI",,"63900","4400","7.39","59600","64300","59500","46216","2885191150","238086735300","3725927"
"298050","HS효성첨단소재","KOSPI",,"263000","2500","0.96","261500","267500","261500","26995","7135313750","1178226324000","4479948"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2290","0","0.00","2290","2295","2285","236","540435","9686700000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2265","20","0.89","2245","2265","2245","1454","3265615","9580950000","4230000"
"0099X0","IBKS제25호스팩","KOSDAQ","SPAC(소속부없음)","2180","15","0.69","2160","2190","2160","29844","64889207","13036400000","5980000"
"015360","INVENI","KOSPI",,"79800","1100","1.40","79500","79800","78600","19107","1509961600","454860000000","5700000"
"095340","ISC","KOSDAQ GLOBAL","우량기업부","175600","6000","3.54","170600","178000","170300","210181","36543813050","3722203384800","21197058"
"175330","JB금융지주","KOSPI",,"34050","2150","6.74","33100","34050","32300","982534","32945017770","6465570664050","189884601"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","5060","-220","-4.17","5280","5330","4995","433304","2209091495","261836520880","51746348"
"234080","JW생명과학","KOSPI",,"13410","250","1.90","13160","13500","13080","67252","892325385","212341369140","15834554"
"067290","JW신약","KOSDAQ","중견기업부","2045","-50","-2.39","2100","2100","2010","823841","1689651378","114595875635","56037103"
"001060","JW중외제약","KOSPI",,"33550","300","0.90","33350","34100","32700","95778","3193877950","781242951500","23285930"
"001067","JW중외제약2우B","KOSPI",,"58900","0","0.00","58900","58900","58900","5","294500","12367409700","209973"
"001065","JW중외제약우","KOSPI",,"28350","-100","-0.35","29900","29900","28350","195","5584250","9694310850","341951"
"096760","JW홀딩스","KOSPI",,"4140","25","0.61","4120","4190","4100","61012","252851036","306049259880","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","71400","-800","-1.11","71600","71900","70700","304630","21663337350","2537019928800","35532492"
"318000","KBG","KOSDAQ","벤처기업부","4450","-65","-1.44","4510","4510","4425","42693","190286450","38893992350","8740223"
"008970","KBI동양철관","KOSPI",,"1817","11","0.61","1812","1824","1801","700794","1269500458","188544470019","103766907"
"024840","KBI메탈","KOSDAQ","중견기업부","1777","23","1.31","1763","1906","1739","1681866","3048968587","62033646623","34909199"
"105560","KB금융","KOSPI",,"168500","4000","2.43","163800","168500","162400","1821129","302952634950","62825301667500","372850455"
"415640","KB발해인프라","KOSPI",,"10070","0","0.00","10020","10090","10020","117129","1177579450","1234033668360","122545548"
"432320","KB스타리츠","KOSPI",,"3485","-75","-2.11","3560","3560","3445","225232","784973611","353428783225","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","3700","-20","-0.54","3715","3730","3670","19627","72607207","42550000000","11500000"
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)","2110","15","0.72","2095","2135","2090","161964","342650895","27229550000","12905000"
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)","2100","15","0.72","2085","2100","2085","3740","7834200","13062000000","6220000"
"486630","KB제30호스팩","KOSDAQ","SPAC(소속부없음)","2090","0","0.00","2095","2095","2085","5084","10625875","11097900000","5310000"
"492220","KB제31호스팩","KOSDAQ","SPAC(소속부없음)","2085","5","0.24","2060","2085","2060","6121","12722805","12947850000","6210000"
"0037T0","KB제32호스팩","KOSDAQ","SPAC(소속부없음)","2040","10","0.49","2030","2040","2030","8604","17508465","12913200000","6330000"
"0072Z0","KB제33호스팩","KOSDAQ","SPAC(소속부없음)","2010","10","0.50","2005","2010","2000","41182","82576695","15848850000","7885000"
"002380","KCC","KOSPI",,"556000","7000","1.28","547000","558000","543000","47794","26418661000","4940877876000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","6550","-40","-0.61","6600","6700","6430","78893","516962535","140170000000","21400000"
"344820","KCC글라스","KOSPI",,"29200","550","1.92","28900","29200","28350","64436","1868205075","466338950400","15970512"
"009070","KCTC","KOSPI",,"7270","-130","-1.76","7450","7460","7260","711113","5208602015","218100000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"756","0","0.00","0","0","0","0","0","17568790596","23239141"
"112190","KC산업","KONEX","일반기업부","1184","6","0.51","1200","1200","1054","2149","2286582","32210588576","27204889"
"119650","KC코트렐","KOSPI",,"918","0","0.00","0","0","0","0","0","100782913662","109785309"
"044180","KD","KOSDAQ","중견기업부","381","-13","-3.30","394","404","378","1341960","523565993","10179481419","26717799"
"092220","KEC","KOSPI",,"738","-19","-2.51","764","785","738","1880350","1415499971","148163198058","200763141"
"046440","KG모빌리언스","KOSDAQ","우량기업부","5450","10","0.18","5480","5550","5400","204880","1116714045","207158870900","38010802"
"003620","KG모빌리티","KOSPI",,"4080","65","1.62","4020","4185","3950","3644803","14920168174","825689640960","202374912"
"016380","KG스틸","KOSPI",,"5930","90","1.54","5880","5930","5830","350314","2059868595","593052759210","100008897"
"151860","KG에코솔루션","KOSDAQ","우량기업부","6740","230","3.53","6480","6770","6460","314345","2096952250","320844233480","47603002"
"035600","KG이니시스","KOSDAQ","우량기업부","11450","160","1.42","11590","11670","11400","157074","1805743810","315498269300","27554434"
"001390","KG케미칼","KOSPI",,"6100","210","3.57","5920","6100","5870","356997","2143603700","410121483000","67233030"
"060720","KH바텍","KOSDAQ","벤처기업부","16760","-210","-1.24","17060","17100","16610","288204","4833663425","396833927920","23677442"
"001940","KISCO홀딩스","KOSPI",,"23850","500","2.14","23700","24000","23300","10760","253697700","338106663000","14176380"
"058400","KNN","KOSDAQ","우량기업부","720","13","1.84","710","724","703","598569","428473296","95349398400","132429720"
"025000","KPX케미칼","KOSPI",,"51300","400","0.79","51400","51500","50600","5702","291509400","224627771700","4378709"
"092230","KPX홀딩스","KOSPI",,"77700","700","0.91","77500","77800","77000","1271","98427600","328254994200","4224646"
"000040","KR모터스","KOSPI",,"421","-2","-0.47","429","431","420","155509","66133558","36363952464","86375184"
"044450","KSS해운","KOSPI",,"10440","100","0.97","10280","10440","9950","65359","675186250","241016587200","23085880"
"101000","KS인더스트리","KOSDAQ","중견기업부","1160","-34","-2.85","1194","1195","1130","852289","984728885","38798290320","33446802"
"030200","KT","KOSPI",,"64300","1600","2.55","63600","65800","63300","688644","44780670579","16204994345500","252021685"
"033780","KT&G","KOSPI",,"172200","900","0.53","172100","173600","170000","414317","71137475850","20315578269000","117976645"
"058850","KTcs","KOSPI",,"2840","-45","-1.56","2900","2945","2840","978138","2832253769","121225400000","42685000"
"058860","KTis","KOSPI",,"2950","10","0.34","2930","2970","2930","167714","495238622","102665900000","34802000"
"089600","KT나스미디어","KOSDAQ","우량기업부","13640","880","6.90","13010","13660","13010","172687","2311526245","157789743320","11568163"
"418470","KT밀리의서재","KOSDAQ","중견기업부","13560","-160","-1.17","13910","13910","13550","73549","1001123430","116152098840","8565789"
"043610","KT지니뮤직","KOSDAQ","우량기업부","1902","-14","-0.73","1916","1916","1893","122179","231810430","110535563076","58115438"
"122450","KX","KOSDAQ","중견기업부","3700","100","2.78","3600","3730","3600","124817","459200405","165833385800","44819834"
"052900","KX하이텍","KOSDAQ","우량기업부","1266","3","0.24","1280","1321","1251","1108595","1414770359","82764061296","65374456"
"036560","KZ정밀","KOSDAQ","우량기업부","13940","0","0.00","14030","14030","13840","10881","151564150","219555000000","15750000"
"061970","LB세미콘","KOSDAQ","중견기업부","4900","50","1.03","4900","5060","4850","653908","3222659234","284606729400","58083006"
"309960","LB인베스트먼트","KOSDAQ","벤처기업부","6510","-160","-2.40","6640","6840","6510","308527","2053031675","151144225890","23217239"
"093050","LF","KOSPI",,"21850","-100","-0.46","21700","22050","21450","69583","1518088850","638894000000","29240000"
"003550","LG","KOSPI",,"96200","-2100","-2.14","98900","99000","95000","437684","41941544870","14836116477000","154221585"
"034220","LG디스플레이","KOSPI",,"11910","0","0.00","11970","12160","11740","4540859","54142578685","5955000000000","500000000"
"051900","LG생활건강","KOSPI",,"276000","4500","1.66","274500","278500","272000","99942","27600701750","4223478684000","15302459"
"051905","LG생활건강우","KOSPI",,"118100","2700","2.34","115600","118500","115200","20092","2359666150","247974215700","2099697"
"064400","LG씨엔에스","KOSPI",,"72700","600","0.83","73400","73400","71300","1012800","72933120900","7043608419600","96885948"
"373220","LG에너지솔루션","KOSPI",,"410000","18000","4.59","400000","411000","393000","583824","237001666500","95940000000000","234000000"
"003555","LG우","KOSPI",,"73300","-200","-0.27","73800","74000","72800","12342","905578600","220720886700","3011199"
"032640","LG유플러스","KOSPI",,"17170","590","3.56","16910","17580","16720","1614788","27805314460","7380152855350","429828355"
"011070","LG이노텍","KOSPI",,"253500","2500","1.00","253500","254000","248000","210626","52934739250","5999611624500","23667107"
"066570","LG전자","KOSPI",,"121400","-6500","-5.08","127800","127800","119000","5121457","623305141650","19774407381800","162886387"
"066575","LG전자우","KOSPI",,"54200","-1900","-3.39","56200","56400","54100","382403","20972259600","931480766400","17185992"
"037560","LG헬로비전","KOSPI",,"2495","0","0.00","2500","2535","2465","156930","390612953","193229928175","77446865"
"051910","LG화학","KOSPI",,"336500","14000","4.34","325500","340000","324000","576686","193138690750","23754323419500","70592343"
"051915","LG화학우","KOSPI",,"163200","4500","2.84","160000","163900","159100","40232","6527075000","1254812160000","7688800"
"079550","LIG넥스원","KOSPI",,"455500","-2000","-0.44","461000","461000","448500","89970","40792111000","10021000000000","22000000"
"225190","LK삼양","KOSDAQ","중견기업부","2380","-240","-9.16","2615","2655","2350","8582450","21054340573","167714887200","70468440"
"006260","LS","KOSPI",,"250500","17500","7.51","240000","253500","236000","378998","94122231750","7940850000000","31700000"
"010120","LS ELECTRIC","KOSPI",,"671000","4000","0.60","683000","685000","663000","166299","111481015500","20130000000000","30000000"
"000680","LS네트웍스","KOSPI",,"3505","40","1.15","3475","3530","3470","195098","682936787","276204571080","78803016"
"060370","LS마린솔루션","KOSDAQ","우량기업부","29400","-50","-0.17","29500","29700","28900","171385","5001009075","1535822307600","52238854"
"417200","LS머트리얼즈","KOSDAQ","중견기업부","16260","-640","-3.79","16970","17000","16100","1691925","27846794175","1100032235340","67652659"
"229640","LS에코에너지","KOSPI",,"43750","-500","-1.13","44500","44500","43600","140531","6172190600","1339838456250","30624879"
"078020","LS증권","KOSDAQ","우량기업부","6280","180","2.95","6160","6330","6100","434454","2704014795","348421873200","55481190"
"322180","LS티라유텍","KOSDAQ","벤처기업부","8790","90","1.03","8780","8900","8540","112500","981569945","183904239360","20921984"
"108320","LX세미콘","KOSPI",,"56100","1500","2.75","55200","56600","54600","110803","6152126650","912427230000","16264300"
