종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","791453","1251802","460349","642411304000","1029756792000","387345488000"
"005930","삼성전자","4487665","5065899","578234","700925799400","800595992750","99670193350"
"402340","SK스퀘어","201523","319139","117616","98214558750","164946202500","66731643750"
"003230","삼양식품","56128","109780","53652","65903128500","131176162500","65273034000"
"267270","HD건설기계","393874","850405","456531","46556405400","105642647250","59086241850"
"005935","삼성전자우","1151956","1534976","383020","130480432650","172465472550","41985039900"
"068270","셀트리온","106284","261507","155223","22453740000","56946672000","34492932000"
"214450","파마리서치","273275","328948","55673","114153680000","146227235750","32073555750"
"001040","CJ","131733","268594","136861","26361571850","55509828850","29148257000"
"047810","한국항공우주","350915","517495","166580","57488575250","85118154300","27629579050"
"128940","한미약품","61968","111159","49191","31036232250","58431879750","27395647500"
"005830","DB손해보험","44935","231132","186197","6531390500","33117690950","26586300450"
"440110","파두","986264","1508740","522476","44717806000","70509645400","25791839400"
"347700","스피어","695455","1635706","940251","20326354255","45736723570","25410369315"
"009830","한화솔루션","1512681","1952623","439942","54744608050","78055536775","23310928725"
"491000","리브스메드","137672","442267","304595","10090502250","33292518100","23202015850"
"039200","오스코텍","204689","669758","465069","9688601775","30907368550","21218766775"
"353200","대덕전자","449050","831713","382663","25073856750","46110111075","21036254325"
"006400","삼성SDI","252253","307839","55586","93054455500","113393040250","20338584750"
"064760","티씨케이","43994","141207","97213","8678923100","28862553250","20183630150"
"047040","대우건설","2777598","5646653","2869055","14689077986","32848198073","18159120087"
"010060","OCI홀딩스","95043","224824","129781","12100531800","29838692600","17738160800"
"023530","롯데쇼핑","44263","219824","175561","4332887250","21603120250","17270233000"
"103590","일진전기","62091","316652","254561","3898664250","20941227650","17042563400"
"010130","고려아연","42386","52603","10217","71421367500","88237812500","16816445000"
"237690","에스티팜","166329","280792","114463","24266507550","40958702400","16692194850"
"252990","샘씨엔에스","136323","1952395","1816072","1304512875","17470514525","16166001650"
"489790","한화비전","700836","988253","287417","42001960300","57513644100","15511683800"
"004020","현대제철","170745","596176","425431","5505087250","20263218175","14758130925"
"000150","두산","59060","74470","15410","51155389500","65169122500","14013733000"
"323410","카카오뱅크","349191","870045","520854","8080906800","21381831575","13300924775"
"078600","대주전자재료","66087","214914","148827","5838346550","18924526300","13086179750"
"089970","브이엠","489848","904524","414676","13505647975","26480703050","12975055075"
"016360","삼성증권","111198","241228","130030","9643842350","22408478100","12764635750"
"114810","한솔아이원스","87134","926822","839688","1252248450","13300025605","12047777155"
"189300","인텔리안테크","108248","199987","91739","10481015350","22065753400","11584738050"
"259960","크래프톤","84155","129616","45461","21147480750","32639381250","11491900500"
"009470","삼화전기","74772","321037","246265","3747223550","14834308475","11087084925"
"277810","레인보우로보틱스","224769","251012","26243","149912306000","160743763000","10831457000"
"476830","알지노믹스","318150","376526","58376","47172863900","57736744000","10563880100"
"139130","iM금융지주","224089","854756","630667","3322665510","13778352205","10455686695"
"071050","한국금융지주","166265","208430","42165","33081422900","43473475350","10392052450"
"397030","에이프릴바이오","224877","403160","178283","12062475425","22232410825","10169935400"
"004170","신세계","103262","136386","33124","31988670250","42100483000","10111812750"
"035720","카카오","416171","577988","161817","24368166200","34408930850","10040764650"
"031980","피에스케이홀딩스","168796","324842","156046","11491060250","21453872500","9962812250"
"020150","롯데에너지머티리얼즈","170041","380971","210930","7071467625","17014420150","9942952525"
"115180","큐리언트","13214","285627","272413","398928800","9689983450","9291054650"
"062040","산일전기","64283","119502","55219","9292051650","18340148800","9048097150"
"298020","효성티앤씨","59438","91395","31957","22201062750","31165364500","8964301750"
"456160","지투지바이오","244806","345880","101074","19587111750","28322955800","8735844050"
"034230","파라다이스","406551","858142","451591","7724533070","16309946810","8585413740"
"192820","코스맥스","26896","67536","40640","5098819650","13264049150","8165229500"
"077360","덕산하이메탈","224324","1001925","777601","2419694300","10512734160","8093039860"
"950160","코오롱티슈진","155368","243319","87951","14890750450","22940058250","8049307800"
"034730","SK","58031","81976","23945","17923880000","25945147750","8021267750"
"105560","KB금융","402692","449474","46782","56422554750","64381822400","7959267650"
"141080","리가켐바이오","379953","423692","43739","68832102750","76599716350","7767613600"
"139480","이마트","76713","139043","62330","8093843600","15495178400","7401334800"
