종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","148749","319832","171083","128055389000","276949234500","148893845500"
"005930","삼성전자","913535","1272387","358852","147816370050","208637871700","60821501650"
"402340","SK스퀘어","36316","131284","94968","19487237500","72237401000","52750163500"
"005380","현대차","64730","155322","90592","30649000750","76652600750","46003600000"
"267270","HD건설기계","77843","360600","282757","9673822900","46913684500","37239861600"
"440110","파두","881925","1500040","618115","41000328100","70257975400","29257647300"
"009830","한화솔루션","765584","1417015","651431","31728589900","60203397375","28474807475"
"068270","셀트리온","9018","112871","103853","2020894500","25492486500","23471592000"
"128940","한미약품","18005","54814","36809","10309469500","31569473500","21260004000"
"105560","KB금융","75678","193442","117764","11712198950","29200128800","17487929850"
"001040","CJ","9575","80252","70677","2068883250","17281940500","15213057250"
"071050","한국금융지주","18901","83226","64325","4111501850","18412267150","14300765300"
"003230","삼양식품","7228","18585","11357","7994635000","21066385500","13071750500"
"047040","대우건설","537573","2420578","1883005","3640611375","16524959145","12884347770"
"298040","효성중공업","6467","11229","4762","14680899000","26406775500","11725876500"
"347700","스피어","358409","693905","335496","12461147925","23752964725","11291816800"
"078600","대주전자재료","58855","171276","112421","5285460850","15750882500","10465421650"
"023530","롯데쇼핑","26688","123428","96740","2849105150","13281992650","10432887500"
"039200","오스코텍","17863","197271","179408","908919950","9961372550","9052452600"
"062040","산일전기","21674","77285","55611","3227056550","12121686750","8894630200"
"047810","한국항공우주","78232","134284","56052","12648874050","21389311900","8740437850"
"016360","삼성증권","22706","112541","89835","2146710700","10583248900","8436538200"
"458870","씨어스테크놀로지","28871","77242","48371","4611086650","12757044300","8145957650"
"189300","인텔리안테크","53783","100166","46383","5297513750","12875966950","7578453200"
"139480","이마트","51701","115499","63798","5903900850","13455789750","7551888900"
"035720","카카오","94997","215736","120739","5408160950","12628706350","7220545400"
"010120","LS ELECTRIC","26715","37257","10542","16287503500","23395199500","7107696000"
"010060","OCI홀딩스","34062","80149","46087","4939588450","11990545100","7050956650"
"010950","S-Oil","13044","78160","65116","1310687100","8331710450","7021023350"
"000150","두산","8772","16086","7314","7567332500","14408443000","6841110500"
"103590","일진전기","7514","101864","94350","512043600","7079764350","6567720750"
"089970","브이엠","115696","325971","210275","3238131175","9692150850","6454019675"
"012330","현대모비스","10923","25240","14317","4711817500","11021401250","6309583750"
"003550","LG","8283","70418","62135","750652950","6664608100","5913955150"
"010780","아이에스동서","6053","211877","205824","171965750","5891345150","5719379400"
"237690","에스티팜","38756","74431","35675","5916914400","11482708850","5565794450"
"240810","원익IPS","41496","88424","46928","4363995450","9814386600","5450391150"
"139130","iM금융지주","30304","336476","306172","546119155","5993120895","5447001740"
"476830","알지노믹스","31893","65427","33534","4194355350","9215784050","5021428700"
"000120","CJ대한통운","25830","67559","41729","3505838650","8484226200","4978387550"
"323410","카카오뱅크","59783","233412","173629","1600762525","6441960250","4841197725"
"448900","한국피아이엠","10142","77160","67018","752144900","5515161700","4763016800"
"008770","호텔신라","81507","170124","88617","4164561325","8777521200","4612959875"
"006400","삼성SDI","11458","23111","11653","4310623500","8916804000","4606180500"
"006800","미래에셋증권","238578","320683","82105","11962972575","16480029200","4517056625"
