종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","80074","198131","118057","70342918500","174884773500","104541855000"
"005930","삼성전자","361313","840308","478995","60095876850","140237461150","80141584300"
"005380","현대차","25339","150650","125311","12249931750","74415507000","62165575250"
"402340","SK스퀘어","13661","110511","96850","7540990500","61499130500","53958140000"
"267270","HD건설기계","23568","204272","180704","2943684300","26962997450","24019313150"
"009830","한화솔루션","277953","701836","423883","13041136275","32960001150","19918864875"
"440110","파두","253229","654237","401008","12539015850","32079495875","19540480025"
"298040","효성중공업","1954","8131","6177","4645886500","19463312500","14817426000"
"000270","기아","40109","125486","85377","6173848450","19820281750","13646433300"
"047040","대우건설","433969","2250570","1816601","3075305445","15585060320","12509754875"
"009150","삼성전기","23148","63387","40239","7134998000","19321828750","12186830750"
"003230","삼양식품","4431","14722","10291","5016653000","16945356500","11928703500"
"000720","현대건설","12422","115023","102601","1412982300","13201512850","11788530550"
"189300","인텔리안테크","7936","96635","88699","925241000","12529025600","11603784600"
"078600","대주전자재료","45402","170745","125343","4277758350","15710671300","11432912950"
"068270","셀트리온","5017","52524","47507","1157281250","12387814500","11230533250"
"010120","LS ELECTRIC","9100","24889","15789","5846193500","16071429000","10225235500"
"062040","산일전기","8202","70997","62795","1289221850","11195254750","9906032900"
"071050","한국금융지주","10193","51454","41261","2325824250","11921826750","9596002500"
"298380","에이비엘바이오","43305","92015","48710","8085707250","17519578950","9433871700"
"000150","두산","4523","14643","10120","3994762000","13181615500","9186853500"
"023530","롯데쇼핑","18373","92494","74121","2043357150","10258874950","8215517800"
"001040","CJ","6529","41810","35281","1429729750","9214275500","7784545750"
"139480","이마트","22562","87654","65092","2809670100","10477446150","7667776050"
"010950","S-Oil","6555","75343","68788","679883250","8052772300","7372889050"
"016360","삼성증권","19414","96881","77467","1852403500","9191950050","7339546550"
"012330","현대모비스","3875","18735","14860","1689107000","8211285750","6522178750"
"079550","LIG넥스원","8823","22685","13862","4049140750","10488295000","6439154250"
"240810","원익IPS","18084","71183","53099","1923495250","7975763400","6052268150"
"237690","에스티팜","18058","56535","38477","2806894150","8839177200","6032283050"
"141080","리가켐바이오","8855","41829","32974","1562330050","7500987800","5938657750"
"128940","한미약품","15397","24031","8634","8877458500","14615767500","5738309000"
"267260","HD현대일렉트릭","3554","9246","5692","3370762500","8672291000","5301528500"
"039200","오스코텍","7463","111723","104260","375954650","5596035950","5220081300"
"006800","미래에셋증권","122905","217425","94520","6449711650","11557514450","5107802800"
"003550","LG","2103","54332","52229","196630300","5181582800","4984952500"
"103590","일진전기","4071","71209","67138","286917600","5111899500","4824981900"
"089970","브이엠","19766","156759","136993","615186050","5120976325","4505790275"
"126700","하이비젼시스템","4727","216880","212153","88896430","4290019540","4201123110"
"004170","신세계","14338","26230","11892","5204583750","9344180750","4139597000"
"114810","한솔아이원스","32757","290082","257325","540357980","4598344680","4057986700"
"494120","큐리오시스","12170","68158","55988","873738400","4829756850","3956018450"
"086280","현대글로비스","2192","17568","15376","535394250","4458998750","3923604500"
"000120","CJ대한통운","17879","49080","31201","2624927600","6449032400","3824104800"
"419530","SAMG엔터","16105","95993","79888","719808575","4483792800","3763984225"
"448900","한국피아이엠","10037","56276","46239","745688400","4225375000","3479686600"
"0007C0","아크릴","14294","78751","64457","674910100","4152390000","3477479900"
"475830","오름테라퓨틱","742","29801","29059","81797250","3537290700","3455493450"
"476830","알지노믹스","16664","40413","23749","2201652400","5656520350","3454867950"
"105560","KB금융","58228","79964","21736","9198425800","12571966150","3373540350"
"316140","우리금융지주","15861","98776","82915","560116625","3627015325","3066898700"
"035720","카카오","29686","81361","51675","1723704450","4762020300","3038315850"
"003490","대한항공","34267","154705","120438","840496500","3853750100","3013253600"
"030200","KT","5455","55128","49673","333174150","3339275800","3006101650"
"028050","삼성E&A","18143","107845","89702","602953925","3604170100","3001216175"
"058610","에스피지","14267","33211","18944","1929976200","4701890900","2771914700"
