종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","22109","72610","50501","12747676500","41860151000","29112474500"
"005930","삼성전자","81087","279228","198141","8919672450","30713604450","21793932000"
"009150","삼성전기","19985","92117","72132","5072169500","23486157250","18413987750"
"003230","삼양식품","785","10553","9768","992930500","13452638000","12459707500"
"476830","알지노믹스","319","59899","59580","48519900","9110637900","9062118000"
"010130","고려아연","32","5480","5448","44308000","7579026500","7534718500"
"272210","한화시스템","1899","116466","114567","107489050","6606648850","6499159800"
"402340","SK스퀘어","283","18908","18625","89329000","5918870750","5829541750"
"138930","BNK금융지주","3865","317689","313824","62232005","5157367410","5095135405"
"005935","삼성전자우","6644","58855","52211","564741050","5023730550","4458989500"
"108490","로보티즈","785","12561","11776","220911000","3560415750","3339504750"
"488280","에스투더블유","825","90934","90109","29766425","3286154500","3256388075"
"328130","루닛","439","74165","73726","19255950","3251953025","3232697075"
"214450","파마리서치","2642","10309","7667","1055780000","4117102500","3061322500"
"005830","DB손해보험","125","23691","23566","15816500","2996396550","2980580050"
"247540","에코프로비엠","14","16700","16686","2226700","2656356150","2654129450"
"043260","성호전자","1581","327872","326291","12437995","2552458545","2540020550"
"240810","원익IPS","2011","32636","30625","122266600","2047311900","1925045300"
"295310","에이치브이엠","31918","67811","35893","1660026500","3514973700","1854947200"
"036570","엔씨소프트","251","9158","8907","49750750","1806733750","1756983000"
"098460","고영","9463","69522","60059","231119550","1725121975","1494002425"
"307950","현대오토에버","2002","6560","4558","592450250","2021885000","1429434750"
"005387","현대차2우B","452","7156","6704","93412000","1482256250","1388844250"
"011170","롯데케미칼","1088","19778","18690","79655600","1455577800","1375922200"
"005380","현대차","7656","12401","4745","2208261500","3577646250","1369384750"
"005385","현대차우","1507","8118","6611","305125250","1647601000","1342475750"
"383220","F&F","1258","18374","17116","97523500","1429781650","1332258150"
"032830","삼성생명","817","8873","8056","129562850","1405231750","1275668900"
"458870","씨어스테크놀로지","0","10592","10592","0","1239058800","1239058800"
"204620","글로벌텍스프리","1538","220116","218578","8218840","1179679135","1171460295"
"089890","코세스","0","50494","50494","0","1151931000","1151931000"
"010120","LS ELECTRIC","623","2982","2359","295234750","1422710000","1127475250"
"204320","HL만도","665","20128","19463","36167200","1113019700","1076852500"
"475830","오름테라퓨틱","11590","22364","10774","1130654150","2198751550","1068097400"
"419530","SAMG엔터","2732","27574","24842","113468500","1150441050","1036972550"
"067310","하나마이크론","1551","41952","40401","38224600","1059276575","1021051975"
"478340","나라스페이스테크놀로지","163","23495","23332","6913650","1000289875","993376225"
"058610","에스피지","10615","21885","11270","945844150","1936705850","990861700"
"007810","코리아써키트","623","26462","25839","23067075","998123850","975056775"
"175330","JB금융지주","4208","41437","37229","108100200","1068460600","960360400"
"126340","비나텍","1721","13908","12187","129359000","1068805000","939446000"
"071970","HD현대마린엔진","7649","16755","9106","708592300","1556609000","848016700"
"448900","한국피아이엠","0","15638","15638","0","803167000","803167000"
"388210","씨엠티엑스","22791","31247","8456","2177911550","2981077950","803166400"
"319660","피에스케이","1187","24434","23247","40751375","839588325","798836950"
"166090","하나머티리얼즈","834","18158","17324","36068700","788743250","752674550"
"000990","DB하이텍","2528","13256","10728","170656100","900632250","729976150"
"189300","인텔리안테크","607","12711","12104","35992500","757269300","721276800"
"035150","백산","290","52679","52389","3957070","717812730","713855660"
