종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1497","-20","-1.32","1517","1520","1486","289605","433453401","79429382880","53059040"
"095570","AJ네트웍스","KOSPI",,"4685","0","0.00","4625","4840","4625","224970","1063447555","212009175915","45252759"
"006840","AK홀딩스","KOSPI",,"8150","-30","-0.37","8180","8180","7920","16932","135695745","107967622150","13247561"
"054620","APS","KOSDAQ","중견기업부","4530","100","2.26","4460","4655","4355","163165","738054442","83325821130","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","19730","310","1.60","19310","19750","19290","105276","2056936620","296952698330","15050821"
"211270","AP위성","KOSDAQ","우량기업부","18920","-130","-0.68","18840","19940","18550","1268927","24241080080","285357191680","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4020","-10","-0.25","4030","4060","3980","91995","369310679","384781499820","95716791"
"282330","BGF리테일","KOSPI",,"117000","3000","2.63","114800","118100","114100","43109","5041921700","2022217002000","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4055","-30","-0.73","4085","4095","3945","120698","483067820","254519775445","62766899"
"138930","BNK금융지주","KOSPI",,"16150","230","1.44","15870","16280","15840","1464214","23680195011","5011781582950","310327033"
"001460","BYC","KOSPI",,"41000","-950","-2.26","43000","43000","40700","3261","134389700","256092150000","6246150"
"001465","BYC우","KOSPI",,"23500","-150","-0.63","24150","24150","21950","7235","166315450","50615475000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1309","9","0.69","1300","1312","1250","357134","456174764","100654484238","76894182"
"001040","CJ","KOSPI",,"189900","1200","0.64","190000","192500","187700","100716","19199954050","5540711920200","29176998"
"079160","CJ CGV","KOSPI",,"6080","-90","-1.46","6170","6190","6020","434033","2643114305","1006735860480","165581556"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","68700","400","0.59","68900","71500","68200","183389","12785303500","1506532879800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8880","-40","-0.45","8920","8940","8800","17530","155135980","116021302560","13065462"
"00104K","CJ4우(전환)","KOSPI",,"160900","500","0.31","160400","162800","158200","7055","1135696000","680045780800","4226512"
"000120","CJ대한통운","KOSPI",,"98200","-900","-0.91","99800","99800","97600","59216","5824989200","2240172180800","22812344"
"011150","CJ씨푸드","KOSPI",,"2870","30","1.06","2840","2870","2820","401729","1143644037","103121318510","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15410","280","1.85","15300","15410","15170","662","10064810","3082000000","200000"
"001045","CJ우","KOSPI",,"90000","300","0.33","89700","91300","89100","5230","470714800","203420070000","2260223"
"097950","CJ제일제당","KOSPI",,"214500","1500","0.70","213500","215500","212500","52935","11330014750","3229122897000","15054186"
"097955","CJ제일제당 우","KOSPI",,"140100","400","0.29","140600","140600","139200","3894","544175650","185973363300","1327433"
