종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","5380","-20","-0.37","243459843420"
"006840","AK홀딩스","KOSPI","기타금융","8580","50","0.59","113664073380"
"027410","BGF","KOSPI","기타금융","4255","40","0.95","407274945705"
"282330","BGF리테일","KOSPI","유통","139400","1500","1.09","2409376496400"
"138930","BNK금융지주","KOSPI","기타금융","22050","600","2.80","6842711077650"
"001460","BYC","KOSPI","섬유·의류","55300","-1700","-2.98","345412095000"
"001465","BYC우","KOSPI","섬유·의류","27100","-450","-1.63","58369335000"
"001040","CJ","KOSPI","기타금융","228000","-4000","-1.72","6652355544000"
"079160","CJ CGV","KOSPI","오락·문화","5960","-130","-2.13","986869262360"
"00104K","CJ4우(전환)","KOSPI","기타금융","187500","-2200","-1.16","792471000000"
"000120","CJ대한통운","KOSPI","운송·창고","140400","-2400","-1.68","3202853097600"
"011150","CJ씨푸드","KOSPI","음식료·담배","2905","-40","-1.36","104378895565"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","15250","-130","-0.85","3050000000"
"001045","CJ우","KOSPI","기타금융","102000","-2300","-2.21","230542746000"
"097950","CJ제일제당","KOSPI","음식료·담배","222500","-8000","-3.47","3349556385000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","141300","-1600","-1.12","187566282900"
"000480","CR홀딩스","KOSPI","비금속","4900","0","0.00","229763401000"
"000590","CS홀딩스","KOSPI","기타금융","84700","400","0.47","97784625400"
"012030","DB","KOSPI","IT 서비스","1715","-4","-0.23","345013295095"
"005830","DB손해보험","KOSPI","보험","182100","-4600","-2.46","12634826400000"
"016610","DB증권","KOSPI","증권","15360","1600","11.63","651976535040"
"000990","DB하이텍","KOSPI","전기·전자","93000","-1800","-1.90","4045926684000"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","23300","-250","-1.06","459692224000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","49200","2050","4.35","1031029492800"
"000215","DL우","KOSPI","화학","25750","650","2.59","43417461250"
"375500","DL이앤씨","KOSPI","건설","49450","-350","-0.70","1913399657350"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","37000","450","1.23","78142187000"
"37550K","DL이앤씨우","KOSPI","건설","25250","350","1.41","53375596250"
"007340","DN오토모티브","KOSPI","전기·전자","32800","800","2.50","1919156372000"
"004840","DRB동일","KOSPI","화학","5850","10","0.17","116590500000"
"155660","DSR","KOSPI","금속","3965","-65","-1.61","63440000000"
"069730","DSR제강","KOSPI","금속","4230","0","0.00","60912000000"
"017860","DS단석","KOSPI","화학","18830","-330","-1.72","331110711960"
"092780","DYP","KOSPI","운송장비·부품","4995","-425","-7.84","65776457700"
"017940","E1","KOSPI","유통","100800","1800","1.82","691488000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4445","5","0.11","1093865605000"
"383220","F&F","KOSPI","섬유·의류","70100","-1800","-2.50","2685325957500"
"007700","F&F홀딩스","KOSPI","기타금융","20600","-450","-2.14","805755960200"
"114090","GKL","KOSPI","오락·문화","13300","-190","-1.41","822680411000"
"078930","GS","KOSPI","기타금융","71000","800","1.14","6596991838000"
"006360","GS건설","KOSPI","건설","21950","250","1.15","1878513705500"
"001250","GS글로벌","KOSPI","유통","2585","0","0.00","213349779940"
"007070","GS리테일","KOSPI","유통","22200","-200","-0.89","1856084613000"
"078935","GS우","KOSPI","기타금융","58100","600","1.04","103698390600"
"499790","GS피앤엘","KOSPI","기타금융","64600","3200","5.21","1281072328600"
"012630","HDC","KOSPI","기타금융","22700","1250","5.83","1356137066700"
"039570","HDC랩스","KOSPI","건설","8470","90","1.07","219860880470"
"089470","HDC현대EP","KOSPI","화학","6090","-410","-6.31","194271000000"
"294870","HDC현대산업개발","KOSPI","건설","23400","250","1.08","1542231522000"
"267270","HD건설기계","KOSPI","기계·장비","140900","-4100","-2.83","6759553226200"
"009540","HD한국조선해양","KOSPI","기타금융","397500","500","0.13","28132313610000"
"267250","HD현대","KOSPI","기타금융","256000","-5000","-1.92","20222229760000"
"443060","HD현대마린솔루션","KOSPI","일반서비스","171300","4900","2.94","7679607685500"
"071970","HD현대마린엔진","KOSPI","기계·장비","82700","-1000","-1.19","2805307636500"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","81400","-5500","-6.33","911680000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","949000","-17000","-1.76","34208731115000"
